,Query Path,SAT/UNSAT,Depths,algaroba with pause based on depth
27,../blocksworld/blocksworld_from_4_4_4_to_1_0_11_negated_goal_bmc_22.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 301, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L: 66, Record_left_center_right: 27, }",0.04883289337158203
28,../blocksworld/blocksworld_from_1_5_5_to_1_1_9_negated_goal_bmc_20.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 276, Enum_A_B_C_D_E_F_G_H_I_J_K: 60, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 25, }",0.057227373123168945
29,../blocksworld/blocksworld_from_0_4_7_to_4_4_3_negated_goal_bmc_19.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 263, Enum_A_B_C_D_E_F_G_H_I_J_K: 57, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 24, }",0.0548243522644043
30,../blocksworld/blocksworld_from_9_10_3_to_1_0_21_negated_goal_bmc_14.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 226, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 19, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V: 42, }",0.07528233528137207
31,../blocksworld/blocksworld_from_9_7_0_to_9_6_1_negated_goal_bmc_9.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 154, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P: 27, Record_left_center_right: 14, }",0.04768633842468262
32,../blocksworld/blocksworld_from_5_7_5_to_8_8_1_negated_goal_bmc_21.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 300, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q: 63, Record_left_center_right: 26, }",0.0643165111541748
33,../blocksworld/blocksworld_from_4_4_3_to_4_3_4_negated_goal_bmc_6.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 107, Enum_A_B_C_D_E_F_G_H_I_J_K: 18, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 11, }",0.05402183532714844
34,../blocksworld/blocksworld_from_8_6_9_to_13_1_9_negated_goal_bmc_21.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 312, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 63, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 26, }",0.07879161834716797
35,../blocksworld/blocksworld_from_11_0_0_to_6_4_1_negated_goal_bmc_1.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 48, Enum_A_B_C_D_E_F_G_H_I_J_K: 3, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 6, }",0.025551557540893555
36,../blocksworld/blocksworld_from_13_0_1_to_11_0_3_negated_goal_bmc_21.smt2,{'algaroba with pause based on depth': 'sat'},"{Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N: 63, Tower: 294, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 26, }",0.06290245056152344
37,../blocksworld/blocksworld_from_12_1_0_to_1_12_0_negated_goal_bmc_10.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 160, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M: 30, Record_left_center_right: 15, }",0.06497383117675781
38,../blocksworld/blocksworld_from_20_2_0_to_13_2_7_negated_goal_bmc_27.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 382, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 32, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V: 81, }",0.0850520133972168
39,../blocksworld/blocksworld_from_15_6_4_to_10_2_13_negated_goal_bmc_29.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 410, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y: 87, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 34, }",0.08558225631713867
