,Query Path,SAT/UNSAT,Depths,Algaroba
27,../blocksworld/blocksworld_from_21_4_1_to_0_23_3_negated_goal_bmc_7.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 150, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 21, Record_left_center_right: 12, }",0.9631586074829102
28,../blocksworld/blocksworld_from_11_0_0_to_6_4_1_negated_goal_bmc_1.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 48, Enum_A_B_C_D_E_F_G_H_I_J_K: 3, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 6, }",0.09699797630310059
29,../blocksworld/blocksworld_from_3_4_6_to_1_9_3_negated_goal_bmc_1.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 51, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M: 3, Record_left_center_right: 6, }",0.09612774848937988
30,../blocksworld/blocksworld_from_9_10_3_to_1_0_21_negated_goal_bmc_14.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 226, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 19, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V: 42, }",18.68866205215454
31,../blocksworld/blocksworld_from_12_0_7_to_18_0_1_negated_goal_bmc_13.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 208, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S: 39, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 18, }",19.124005794525146
32,../blocksworld/blocksworld_from_2_12_9_to_0_10_13_negated_goal_bmc_15.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 238, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 45, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 20, }",20.921759128570557
33,../blocksworld/blocksworld_from_22_0_2_to_9_12_3_negated_goal_bmc_18.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 276, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X: 54, Record_left_center_right: 23, }",42.61335778236389
34,../blocksworld/blocksworld_from_4_16_3_to_5_0_18_negated_goal_bmc_18.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 274, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 54, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 23, }",37.95121192932129
35,../blocksworld/blocksworld_from_1_9_5_to_13_2_0_negated_goal_bmc_16.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 235, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O: 48, Record_left_center_right: 21, }",57.20162534713745
36,../blocksworld/blocksworld_from_5_21_0_to_20_6_0_negated_goal_bmc_16.smt2,{'algaroba with pause based on depth': 'unsat'},"{Tower: 258, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 48, Record_left_center_right: 21, }",57.61694049835205
